draw_id,date,jackpot1_w,jackpot2_w,g1_w,g2_w,g3_w
00879,16/05/2023,0,0,4,522,10023
00880,18/05/2023,0,0,12,491,9032
00881,20/05/2023,0,1,11,384,7958
00882,23/05/2023,0,0,3,435,9593
00883,25/05/2023,0,0,4,483,9329
00884,27/05/2023,0,0,15,679,12314
00885,30/05/2023,0,0,3,498,10897
00886,01/06/2023,0,0,2,379,9437
00887,03/06/2023,0,0,9,538,12190
00888,06/06/2023,0,0,4,628,14040
00889,08/06/2023,0,0,11,582,13574
00890,10/06/2023,0,0,12,639,14350
00891,13/06/2023,0,0,8,787,16587
00892,15/06/2023,0,1,10,764,16805
00893,17/06/2023,0,1,14,718,15575
00894,20/06/2023,0,0,14,875,18957
00895,22/06/2023,0,0,26,1188,18961
00896,24/06/2023,0,1,30,1352,21521
00897,27/06/2023,0,0,17,996,22626
00898,29/06/2023,0,0,16,777,16859
00899,01/07/2023,0,1,14,789,17825
00900,04/07/2023,0,0,9,1007,21759
00901,06/07/2023,0,0,19,1118,22091
00902,08/07/2023,0,0,16,1190,25814
00903,11/07/2023,0,1,10,987,23666
00904,13/07/2023,0,0,16,1227,27339
00905,15/07/2023,0,0,15,1372,28126
00906,18/07/2023,0,0,29,1756,38080
00907,20/07/2023,0,0,23,1449,30445
00908,22/07/2023,0,0,44,1852,38078
00909,25/07/2023,0,1,22,1666,38373
00910,27/07/2023,0,1,34,2037,39398
00911,29/07/2023,0,1,32,1811,35148
00912,01/08/2023,0,0,23,1754,39756
00913,03/08/2023,0,0,27,2232,43325
00914,05/08/2023,0,0,20,1739,37812
00915,08/08/2023,0,0,37,2512,52664
00916,10/08/2023,0,0,26,1828,41740
00917,12/08/2023,1,0,43,2491,53739
00918,15/08/2023,0,0,21,772,15816
00919,17/08/2023,0,0,9,510,12375
00920,19/08/2023,0,0,16,979,17072
00921,22/08/2023,0,0,10,700,15800
00922,24/08/2023,0,1,16,629,13878
00923,26/08/2023,0,0,9,610,12926
00924,29/08/2023,0,0,12,552,13076
00925,31/08/2023,0,0,11,564,13021
00926,02/09/2023,0,0,7,494,10534
00927,05/09/2023,0,0,18,606,13334
00928,07/09/2023,0,1,6,550,12410
00929,09/09/2023,0,0,10,584,12414
00930,12/09/2023,0,0,9,563,13789
00931,14/09/2023,0,0,1,642,13037
00932,16/09/2023,0,0,6,584,12178
00933,19/09/2023,0,0,4,555,13751
00934,21/09/2023,0,0,8,676,13877
00935,23/09/2023,0,0,5,635,14725
00936,26/09/2023,0,0,11,822,15397
00937,28/09/2023,0,0,12,746,15150
00938,30/09/2023,0,1,14,1001,19647
00939,03/10/2023,0,0,22,898,19423
00940,05/10/2023,0,0,25,1328,21903
00941,07/10/2023,0,1,27,1576,24959
00942,10/10/2023,0,0,19,1351,26333
00943,12/10/2023,0,0,26,1342,27404
00944,14/10/2023,0,1,20,1231,25555
00945,17/10/2023,0,0,20,1214,26177
00946,19/10/2023,0,0,17,1241,25928
00947,21/10/2023,0,0,14,1280,26040
00948,24/10/2023,0,1,18,1534,31359
00949,26/10/2023,0,0,30,1592,29929
00950,28/10/2023,0,1,9,1226,26742
00951,31/10/2023,1,1,20,1613,33139
00952,02/11/2023,0,0,3,544,11173
00953,04/11/2023,0,0,4,410,9029
00954,07/11/2023,1,0,12,616,12286
00955,09/11/2023,0,0,7,429,9408
00956,11/11/2023,0,0,13,461,10208
00957,14/11/2023,0,0,13,754,13994
00958,16/11/2023,0,1,3,461,10564
00959,18/11/2023,0,1,13,667,12430
00960,21/11/2023,0,0,8,608,12852
00961,23/11/2023,0,0,5,413,9819
00962,25/11/2023,0,0,13,687,14059
00963,28/11/2023,0,0,7,527,11951
00964,30/11/2023,0,0,7,562,12592
00965,02/12/2023,0,0,23,1033,15666
00966,05/12/2023,1,0,20,826,17445
00967,07/12/2023,0,0,11,507,9651
00968,09/12/2023,0,0,9,619,11708
00969,12/12/2023,0,2,5,507,11806
00970,14/12/2023,0,0,16,638,11755
00971,16/12/2023,0,0,9,534,11577
00972,19/12/2023,0,0,9,601,12830
00973,21/12/2023,0,0,6,502,11762
00974,23/12/2023,0,0,7,499,10781
00975,26/12/2023,0,0,5,700,15581
00976,28/12/2023,0,0,7,595,13500
00977,30/12/2023,0,2,19,770,15450
00978,02/01/2024,0,1,10,868,17756
00979,04/01/2024,0,0,11,817,15084
00980,06/01/2024,0,0,7,701,16020
00981,09/01/2024,0,0,8,673,16100
00982,11/01/2024,0,1,19,757,16460
00983,13/01/2024,0,1,12,900,18901
00984,16/01/2024,0,1,14,1132,22865
00985,18/01/2024,0,0,18,869,17793
00986,20/01/2024,0,1,8,802,17994
00987,23/01/2024,0,0,14,888,19417
00988,25/01/2024,0,1,17,930,19259
00989,27/01/2024,0,0,17,901,19654
00990,30/01/2024,0,0,19,1148,24000
00991,01/02/2024,0,0,20,1139,24469
00992,03/02/2024,0,1,20,1324,27044
00993,06/02/2024,0,0,28,1549,30460
00994,08/02/2024,0,0,21,1225,26108
00995,13/02/2024,0,0,19,1305,27701
00996,15/02/2024,0,0,27,1590,33383
00997,17/02/2024,0,3,22,1568,33396
00998,20/02/2024,0,1,27,1586,30486
00999,22/02/2024,0,1,48,1511,30793
01000,24/02/2024,0,1,15,1569,29741
01001,27/02/2024,0,0,17,2068,36946
01002,29/02/2024,0,0,17,1435,31785
01003,02/03/2024,0,0,15,1622,31683
01004,05/03/2024,0,1,27,2012,43558
01005,07/03/2024,0,0,23,1647,36841
01006,09/03/2024,0,0,22,1743,38373
01007,12/03/2024,0,0,34,2559,51357
01008,14/03/2024,0,0,26,1938,43585
01009,16/03/2024,0,1,19,1973,46293
01010,19/03/2024,0,1,37,2240,49299
01011,21/03/2024,0,1,36,2194,46911
01012,23/03/2024,0,1,104,2880,55887
01013,26/03/2024,0,1,42,2734,63321
01014,28/03/2024,0,2,71,3289,61928
01015,30/03/2024,0,2,31,2901,62094
01016,02/04/2024,0,0,43,3182,66871
01017,04/04/2024,0,0,32,3348,67843
01018,06/04/2024,0,1,47,3272,73555
01019,09/04/2024,0,1,41,3112,69136
01020,11/04/2024,2,2,103,4108,72534
01021,13/04/2024,0,1,9,787,16665
01022,16/04/2024,0,0,12,741,16464
01023,18/04/2024,0,1,18,729,14634
01024,20/04/2024,0,0,8,670,15900
01025,23/04/2024,0,0,12,758,17482
01026,25/04/2024,0,0,23,1049,20236
01027,27/04/2024,0,0,23,896,18181
01028,30/04/2024,0,0,17,774,15862
01029,02/05/2024,0,0,10,597,14270
01030,04/05/2024,0,0,12,1120,17823
01031,07/05/2024,0,0,13,912,19585
01032,09/05/2024,1,1,66,888,17709
01033,11/05/2024,0,0,12,546,11770
01034,14/05/2024,0,1,13,554,12448
01035,16/05/2024,0,0,8,538,12439
01036,18/05/2024,0,0,12,740,14703
01037,21/05/2024,0,0,11,640,14585
01038,23/05/2024,0,0,11,627,14273
01039,25/05/2024,0,0,8,547,12607
01040,28/05/2024,0,0,11,628,15067
01041,30/05/2024,0,1,29,1092,19617
01042,01/06/2024,0,0,8,706,14445
01043,04/06/2024,0,1,18,1221,21813
01044,06/06/2024,0,0,18,772,17171
01045,08/06/2024,0,1,12,914,17872
01046,11/06/2024,0,0,19,887,18295
01047,13/06/2024,0,0,16,789,16402
01048,15/06/2024,0,1,13,927,20160
01049,18/06/2024,0,0,21,1184,22913
01050,20/06/2024,0,0,16,956,19508
01051,22/06/2024,0,0,29,1120,21119
01052,25/06/2024,0,0,22,1434,27369
01053,27/06/2024,0,0,21,1017,21877
01054,29/06/2024,0,0,15,1055,22771
01055,02/07/2024,0,1,20,1361,25227
01056,04/07/2024,0,1,21,1287,27533
01057,06/07/2024,0,2,33,1607,32178
01058,09/07/2024,0,0,15,1735,35548
01059,11/07/2024,0,1,55,1686,31945
01060,13/07/2024,0,0,31,1455,30846
01061,16/07/2024,0,0,9,1389,29054
01062,18/07/2024,0,0,25,1511,30837
01063,20/07/2024,0,0,19,1215,27744
01064,23/07/2024,0,0,18,1180,27742
01065,25/07/2024,0,1,27,1433,31630
01066,27/07/2024,0,2,38,1768,34156
